tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
815745968457060357,0,4579,Mon Jan 02 02:26:09 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
815736392542261248,10585,2509,Mon Jan 02 01:48:06 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/gd9UlLOCQ0
815639385530101762,8844,1822,Sun Jan 01 19:22:38 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/bLZuOh9sKy
815390420867969024,11135,4212,Sun Jan 01 02:53:20 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/9njRxyUd5L
814986499976527872,8222,1433,Sat Dec 31 00:08:17 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/01vpuRDXQ8
814638523311648768,12143,3003,Fri Dec 30 01:05:33 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/0LdNjoiNbv
814578408554463233,0,6434,Thu Dec 29 21:06:41 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
814530161257443328,9330,2056,Thu Dec 29 17:54:58 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/IOdgfnSE9G
814153002265309185,30972,9634,Wed Dec 28 16:56:16 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/YIJo7X7K9J
813944609378369540,0,3555,Wed Dec 28 03:08:11 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
813910438903693312,9998,2088,Wed Dec 28 00:52:25 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/z1VRj1cYZf
813812741911748608,39131,15520,Tue Dec 27 18:24:12 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/2LqNkbHRgt
813800681631023104,8987,1954,Tue Dec 27 17:36:16 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/OuaVvVkwJ1
813217897535406080,20129,8081,Mon Dec 26 03:00:30 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/DVYIZOnO81
813202720496779264,9885,1993,Mon Dec 26 02:00:11 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/cD967DjnIn
813187593374461952,21372,4837,Mon Dec 26 01:00:05 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/rvSANEsQZJ
813172488309972993,10051,2119,Mon Dec 26 00:00:03 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/bxGwkJa2kE
813157409116065792,8352,2460,Sun Dec 25 23:00:08 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/hwhCbhCjnV
813142292504645637,9066,2615,Sun Dec 25 22:00:04 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/KK4XQK9SPi
813130366689148928,4812,491,Sun Dec 25 21:12:41 +0000 2016,Twitter for iPhone,Original tweet,0
813127251579564032,12784,3467,Sun Dec 25 21:00:18 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/BzITyGw3JA
813112105746448384,11140,3058,Sun Dec 25 20:00:07 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/zfdaGZlweq
813096984823349248,11343,4000,Sun Dec 25 19:00:02 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/soNL00XWVu
813081950185472002,10643,3071,Sun Dec 25 18:00:17 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/PjulYEXTvg
813066809284972545,8581,2156,Sun Dec 25 17:00:08 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/syuTXARdtN
813051746834595840,22584,8127,Sun Dec 25 16:00:16 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/AIMF8ouzvl
812781120811126785,8170,2116,Sat Dec 24 22:04:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/lXFM1l22bG
812747805718642688,0,7698,Sat Dec 24 19:52:31 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
812709060537683968,7132,1589,Sat Dec 24 17:18:34 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/AbBDuGZUpp
812503143955202048,6557,1359,Sat Dec 24 03:40:19 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/MCFrxiC7NZ
812466873996607488,8614,2133,Sat Dec 24 01:16:12 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/BAJrfPvtux
812372279581671427,14758,4070,Fri Dec 23 19:00:19 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/gCnAeL2mvT
811985624773361665,7819,1554,Thu Dec 22 17:23:53 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/sIB5C6FDop
811744202451197953,8140,1789,Thu Dec 22 01:24:33 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/TZkiQZqwA6
811647686436880384,6020,824,Wed Dec 21 19:01:02 +0000 2016,Twitter for iPhone,Original tweet,0
811627233043480576,13805,3480,Wed Dec 21 17:39:46 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/IU8S0n4oxn
811386762094317568,22526,7094,Wed Dec 21 01:44:13 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/aAUXzoxaBy
810984652412424192,5751,1588,Mon Dec 19 23:06:23 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/1MI8h6XjMY
810896069567610880,9759,1987,Mon Dec 19 17:14:23 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/PqJcGVZBx9
810657578271330305,11824,2929,Mon Dec 19 01:26:42 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/MXd0AGDsRJ
810284430598270976,38265,12669,Sun Dec 18 00:43:57 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/9p6ECXJMMu
810254108431155201,15833,3724,Sat Dec 17 22:43:27 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/ElJPHbfSMy
809920764300447744,16710,4327,Sat Dec 17 00:38:52 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/HIraYS1Bzo
809808892968534016,0,5441,Fri Dec 16 17:14:20 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
809448704142938112,7471,1633,Thu Dec 15 17:23:04 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/EMdnCugNbo
809220051211603969,21507,6249,Thu Dec 15 02:14:29 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/2JjYys5zMP
809084759137812480,14257,3890,Wed Dec 14 17:16:53 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/ySn6zB6mwQ
808838249661788160,10897,3374,Wed Dec 14 00:57:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Zrrcw29o13
808733504066486276,8529,2405,Tue Dec 13 18:01:07 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/xQfrbNK3HD
808501579447930884,12179,2890,Tue Dec 13 02:39:32 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/SQhyqrr8px
808344865868283904,45868,23059,Mon Dec 12 16:16:49 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/hfi264QwYM
808134635716833280,0,6619,Mon Dec 12 02:21:26 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
808106460588765185,9404,2431,Mon Dec 12 00:29:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/7nJXFt8Ggy
808001312164028416,13575,3929,Sun Dec 11 17:31:39 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/O9iGgvfuzl
807621403335917568,15731,4094,Sat Dec 10 16:22:02 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/gJQnfSziJE
807106840509214720,121620,60177,Fri Dec 09 06:17:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/DkBYaCAg2d
807059379405148160,0,8154,Fri Dec 09 03:08:45 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
807010152071229440,14061,4239,Thu Dec 08 23:53:08 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/IARUfU6khr
806629075125202948,81169,38769,Wed Dec 07 22:38:52 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/f1h2Fsalv9
806620845233815552,0,6131,Wed Dec 07 22:06:10 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
806576416489959424,5231,2134,Wed Dec 07 19:09:37 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/QrFkqgHR1G
806542213899489280,11026,2629,Wed Dec 07 16:53:43 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/BCB87qUU0h
806242860592926720,0,13007,Tue Dec 06 21:04:11 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
806219024703037440,6927,1332,Tue Dec 06 19:29:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/7Mgf5xvIAQ
805958939288408065,0,5984,Tue Dec 06 02:15:59 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
805932879469572096,8920,2118,Tue Dec 06 00:32:26 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/3P9dKV5Me1
805826884734976000,7112,2036,Mon Dec 05 17:31:15 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/SgpBVYIL18
805823200554876929,0,8954,Mon Dec 05 17:16:37 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
805520635690676224,6194,1836,Sun Dec 04 21:14:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/WNdOIm4bXy
805487436403003392,9469,2817,Sun Dec 04 19:02:24 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/N83oNm5L9L
805207613751304193,8416,1895,Sun Dec 04 00:30:29 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/lHy4Xbyhd9
804738756058218496,14845,4278,Fri Dec 02 17:27:25 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/kQVQoOW9NZ
804475857670639616,6649,2230,Fri Dec 02 00:02:45 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/LEZ8jR5txd
804413760345620481,0,3576,Thu Dec 01 19:56:00 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
804026241225523202,48225,18022,Wed Nov 30 18:16:08 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/U7FvBZo6Bq
803773340896923648,10849,3083,Wed Nov 30 01:31:12 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/ZxeRjMKaWt
803692223237865472,0,8262,Tue Nov 29 20:08:52 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
803638050916102144,11879,4605,Tue Nov 29 16:33:36 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/ns9qoElfsX
803380650405482500,8377,2065,Mon Nov 28 23:30:47 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/yPbCALoy2n
803321560782307329,0,5909,Mon Nov 28 19:35:59 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
803276597545603072,10834,2750,Mon Nov 28 16:37:19 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/jxQhxoPsgL
802952499103731712,9755,2233,Sun Nov 27 19:09:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/yLm7hQ6UXh
802624713319034886,0,3255,Sat Nov 26 21:26:58 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
802600418706604034,7689,1634,Sat Nov 26 19:50:26 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/urhl90ZE1O
802572683846291456,9662,2788,Sat Nov 26 18:00:13 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/EFfLCP7oQv
